label;county_id;country_id
Plai (Avram Iancu);1;188
Plaiuri;1;188
Pleșcuța;1;188
Pleșești;1;188
Pleși;1;188
Pliști;1;188
Podu lui Paul;1;188
Poduri-Bricești;1;188
Poiana (Bistra);1;188
Poiana (Bucium);1;188
Poiana (Sohodol);1;188
Poiana Aiudului;1;188
Poiana Ampoiului;1;188
Poiana Galdei;1;188
Poiana Ursului;1;188
Poiana Vadului;1;188
Poieni (Blandiana);1;188
Poieni (Vidra);1;188
Poieni (Bucium);1;188
Poienile-Mogoș;1;188
Poienița (Arieșeni);1;188
Poienița (Vințu de Jos);1;188
Poiu;1;188
Ponor;1;188
Ponorel;1;188
Popești;1;188
Popeștii de Jos;1;188
Popeștii de Sus;1;188
Poșaga de Jos;1;188
Poșaga de Sus;1;188
Poșogani;1;188
Potionci;1;188
Preluca;1;188
Prelucă;1;188
Presaca Ampoiului;1;188
Puiulețești;1;188
Purcăreți;1;188
Pușelești;1;188
Rachiș;1;188
Ravicești;1;188
Răcătău;1;188
Răchita;1;188
Rădești;1;188
Răhău;1;188
Răicani;1;188
Rătitiș;1;188
Războieni-Cetate;1;188
Râmeț;1;188
Reciu;1;188
Remetea;1;188
Rimetea;1;188
Robești;1;188
Rogoz;1;188
Roșești;1;188
Roșia de Secaș;1;188
Roșia Montană;1;188
Runc (Zlatna);1;188
Runc (Vidra);1;188
Runc (Scărișoara);1;188
Runc (Ocoliș);1;188
Runcuri;1;188
Rusești;1;188
Ruși;1;188
Sartăș;1;188
Săgagea;1;188
Sălăgești;1;188
Sălciua de Jos;1;188
Sălciua de Sus;1;188
Săliștea;1;188
Săliștea-Deal;1;188
Sărăcsău;1;188
Săsciori;1;188
Sânbenedic;1;188
Sâncel;1;188
Sâncrai;1;188
Sânmiclăuș;1;188
Sântămărie;1;188
Sântimbru;1;188
Scărișoara;1;188
Scoarța;1;188
Sebeș;1;188
Sebeșel;1;188
Sebișești;1;188
Secășel;1;188
Segaj;1;188
Sfârcea;1;188
Sfoartea;1;188
Sicoiești;1;188
Silivaș;1;188
Simulești;1;188
Snide;1;188
Sohodol;1;188
Sohodol (Albac);1;188
Spătac;1;188
Stănești;1;188
Stăuini;1;188
Stâlnișoara;1;188
Stâna de Mureș;1;188
Straja;1;188
Stremț;1;188
Strungari;1;188
Sturu;1;188
Sub Piatră;1;188
Sucești;1;188
Surdești;1;188
Suseni;1;188
Șard;1;188
Șasa;1;188
Șeușa;1;188
Șibot;1;188
Șilea;1;188
Șimocești;1;188
Șoal;1;188
Șoicești;1;188
Șoimuș;1;188
Șona;1;188
Șpălnaca;1;188
Șpring;1;188
Ștefanca;1;188
Ștei-Arieșeni;1;188
Ștertești;1;188
Știuleți;1;188
Șugag;1;188
Tamborești;1;188
Tărtăria;1;188
Tătârlaua;1;188
Tău;1;188
Tău Bistra;1;188
Tăuni;1;188
Tăuți;1;188
Târsa;1;188
Târsa-Plai;1;188
Tecșești;1;188
Teiu;1;188
Teiuș;1;188
Teleac;1;188
Tibru;1;188
Tolăcești;1;188
Tomești;1;188
Tomnatec;1;188
Tomuțești;1;188
Tonea;1;188
Totoi;1;188
Toțești;1;188
Trâmpoiele;1;188
Trâncești;1;188
Trifești (Horea);1;188
Trifești (Lupșa);1;188
Trișorești;1;188
Turdaș;1;188
Țarina;1;188
Țărănești;1;188
Țelna;1;188
Țifra;1;188
Țoci;1;188
Ungurei;1;188
Unirea;1;188
Urdeș;1;188
Vadu Moților;1;188
Vale în Jos;1;188
Valea Abruzel;1;188
Valea Albă;1;188
Valea Barnii;1;188
Valea Bârluțești;1;188
Valea Bucurului;1;188
Valea Cerbului;1;188
Valea Ciuciului;1;188
Valea Cocești;1;188
Valea Făgetului;1;188
Valea Giogești;1;188
Valea Goblii;1;188
Valea Holhorii;1;188
Valea Inzelului;1;188
Valea Largă;1;188
Valea lui Mihai;1;188
Valea Lungă;1;188
Valea Lupșii;1;188
Valea Maciului;1;188
Valea Mare;1;188
Valea Mănăstirii;1;188
Valea Mică;1;188
Valea Mlacii;1;188
Valea Morii;1;188
Valea Negrilesii;1;188
Valea Poienii (Bucium);1;188
Valea Poienii (Râmeț);1;188
Valea Sasului;1;188
